2025-06-16 01:42:36,342 - INFO - Software: PID: 4536, Name: ShellExperienceHost.exe, Username: DESKTOP-DOLHM1N\ft
2025-06-16 01:42:36,351 - INFO - Software: PID: 4548, Name: svchost.exe, Username: None
2025-06-16 01:42:36,358 - INFO - Software: PID: 4588, Name: mysqld.exe, Username: None
2025-06-16 01:42:36,360 - INFO - Software: PID: 4624, Name: chrome.exe, Username: DESKTOP-DOLHM1N\ft
2025-06-16 01:42:36,368 - INFO - Software: PID: 4632, Name: svchost.exe, Username: None
2025-06-16 01:42:36,376 - INFO - Software: PID: 4708, Name: svchost.exe, Username: None
2025-06-16 01:42:36,383 - INFO - Software: PID: 4824, Name: ArmouryCrateControlInterface.exe, Username: None
2025-06-16 01:42:36,392 - INFO - Software: PID: 4832, Name: ArmouryCrate.Service.exe, Username: None
2025-06-16 01:42:36,399 - INFO - Software: PID: 4840, Name: AsusPTPService.exe, Username: None
2025-06-16 01:42:36,409 - INFO - Software: PID: 4848, Name: AsusSoftwareManager.exe, Username: None
2025-06-16 01:42:36,414 - INFO - Software: PID: 4856, Name: svchost.exe, Username: None
2025-06-16 01:42:36,421 - INFO - Software: PID: 4860, Name: AsusAppService.exe, Username: None
2025-06-16 01:42:36,430 - INFO - Software: PID: 4876, Name: AsusSystemDiagnosis.exe, Username: None
2025-06-16 01:42:36,436 - INFO - Software: PID: 4888, Name: AsusSwitch.exe, Username: None
2025-06-16 01:42:36,445 - INFO - Software: PID: 4896, Name: AsusSystemAnalysis.exe, Username: None
2025-06-16 01:42:36,452 - INFO - Software: PID: 4908, Name: svchost.exe, Username: None
2025-06-16 01:42:36,458 - INFO - Software: PID: 4924, Name: DAX3API.exe, Username: None
2025-06-16 01:42:36,464 - INFO - Software: PID: 4932, Name: svchost.exe, Username: None
2025-06-16 01:42:36,473 - INFO - Software: PID: 4940, Name: ROGLiveService.exe, Username: None
2025-06-16 01:42:36,480 - INFO - Software: PID: 4956, Name: svchost.exe, Username: None
2025-06-16 01:42:36,486 - INFO - Software: PID: 4972, Name: SessionService.exe, Username: None
2025-06-16 01:42:36,494 - INFO - Software: PID: 4988, Name: RtkAudUService64.exe, Username: None
2025-06-16 01:42:36,500 - INFO - Software: PID: 5020, Name: svchost.exe, Username: None
2025-06-16 01:42:36,507 - INFO - Software: PID: 5028, Name: MpDefenderCoreService.exe, Username: None
2025-06-16 01:42:36,515 - INFO - Software: PID: 5036, Name: UltraViewer_Service.exe, Username: None
2025-06-16 01:42:36,520 - INFO - Software: PID: 5056, Name: logi_lamparray_service.exe, Username: None
2025-06-16 01:42:36,527 - INFO - Software: PID: 5064, Name: svchost.exe, Username: None
2025-06-16 01:42:36,529 - INFO - Software: PID: 5084, Name: mysqld.exe, Username: None
2025-06-16 01:42:36,539 - INFO - Software: PID: 5100, Name: nvcontainer.exe, Username: None
2025-06-16 01:42:36,549 - INFO - Software: PID: 5124, Name: MsMpEng.exe, Username: None
2025-06-16 01:42:36,554 - INFO - Software: PID: 5132, Name: wslservice.exe, Username: None
2025-06-16 01:42:36,561 - INFO - Software: PID: 5148, Name: OfficeClickToRun.exe, Username: None
2025-06-16 01:42:36,566 - INFO - Software: PID: 5228, Name: svchost.exe, Username: None
2025-06-16 01:42:36,574 - INFO - Software: PID: 5264, Name: svchost.exe, Username: None
2025-06-16 01:42:36,575 - INFO - Software: PID: 5272, Name: explorer.exe, Username: DESKTOP-DOLHM1N\ft
2025-06-16 01:42:36,582 - INFO - Software: PID: 5308, Name: NgcIso.exe, Username: None
2025-06-16 01:42:36,600 - INFO - Software: PID: 5316, Name: svchost.exe, Username: None
2025-06-16 01:42:36,602 - INFO - Software: PID: 5940, Name: svchost.exe, Username: DESKTOP-DOLHM1N\ft
